stock_ticker,company_name,exchange,country,index_id,sector_id,industry_id,market_cap,market_cap_type,style,business_model,stock_category,description
ASML,ASML Holding NV,NASDAQ,USA,IDX_SP500,SEC_IT,IND_SEMI_EQ,420000000000,Large Cap,Growth,"Semiconductor Equipment,Manufacturing Tools","Blue Chip,Monopoly,High Moat",Equipos de litografía avanzada (EUV) para fabricación de chips
AMAT,Applied Materials Inc,NASDAQ,USA,IDX_SP500,SEC_IT,IND_SEMI_EQ,190000000000,Large Cap,Growth,Semiconductor Equipment,"Blue Chip,Industry Leader",Equipos para deposición y fabricación de semiconductores
LRCX,Lam Research Corp,NASDAQ,USA,IDX_SP500,SEC_IT,IND_SEMI_EQ,130000000000,Large Cap,Growth,"Semiconductor Equipment,Etching","Industry Leader,Cyclical",Equipos de grabado y procesamiento de obleas
KLAC,KLA Corp,NASDAQ,USA,IDX_SP500,SEC_IT,IND_SEMI_EQ,100000000000,Large Cap,Growth,"Semiconductor Equipment,Inspection","High Quality,Defensive Growth",Inspección y control de procesos en semiconductores
TER,Teradyne Inc,NASDAQ,USA,IDX_SP500,SEC_IT,IND_SEMI_EQ,18000000000,Large Cap,Blend,"Semiconductor Equipment,Testing","Cyclical,Automation",Equipos de prueba para chips y automatización industrial
ACN,Accenture plc,NYSE,USA,IDX_SP500,SEC_IT,IND_IT_SERV,210000000000,Large Cap,Blend,"Consulting,Outsourcing,Digital Services","Blue Chip,Industry Leader,Enterprise Services","Consultoría tecnológica, transformación digital y outsourcing"
IBM,International Business Machines Corp,NYSE,USA,IDX_SP500,SEC_IT,IND_IT_SERV,190000000000,Large Cap,Blend,"IT Services,Hybrid Cloud,Consulting","Blue Chip,Defensive,Turnaround","Servicios IT, cloud híbrido y consultoría empresarial"
CTSH,Cognizant Technology Solutions,NASDAQ,USA,IDX_SP500,SEC_IT,IND_IT_SERV,80000000000,Large Cap,Blend,"IT Services,Outsourcing","Enterprise Services,Stable Growth",Servicios IT y outsourcing para empresas globales
INFY,Infosys Ltd,NYSE,USA,,SEC_IT,IND_IT_SERV,90000000000,Large Cap,Blend,"IT Services,Digital Transformation","Global Leader,Offshore Model",Servicios IT globales y transformación digital
DXC,DXC Technology Co,NYSE,USA,,SEC_IT,IND_IT_SERV,35000000000,Mid Cap,Value,"IT Services,Managed Services","Turnaround,Value Play",Servicios IT gestionados y legacy enterprise
HON,Honeywell International Inc,NYSE,USA,IDX_SP500,SEC_IT,IND_ELEC_EQ,140000000000,Large Cap,Blend,"Industrial Technology,Automation","Blue Chip,Industrial Tech,Defensive Growth","Equipos electrónicos industriales, automatización y aeroespacial"
ETN,Eaton Corp plc,NYSE,USA,IDX_SP500,SEC_IT,IND_ELEC_EQ,130000000000,Large Cap,Blend,"Electrical Equipment,Power Management","Blue Chip,Infrastructure,Quality",Equipos eléctricos y gestión de energía
TDY,Teledyne Technologies Inc,NYSE,USA,IDX_SP500,SEC_IT,IND_ELEC_EQ,45000000000,Large Cap,Growth,"Sensors,Instrumentation,Defense","High Quality,Defense Exposure","Sensores, instrumentación y sistemas avanzados"
KEYS,Keysight Technologies Inc,NYSE,USA,IDX_SP500,SEC_IT,IND_ELEC_EQ,30000000000,Large Cap,Growth,"Test & Measurement,Instrumentation","Industry Leader,Semiconductor Cycle Exposure",Instrumentos de prueba y medición electrónica
AME,AMETEK Inc,NYSE,USA,IDX_SP500,SEC_IT,IND_ELEC_EQ,45000000000,Large Cap,Blend,"Electronic Instruments,Automation","High Quality,Industrial Compounding",Instrumentos electrónicos y automatización industrial
JPM,JPMorgan Chase & Co,NYSE,USA,IDX_SP500,SEC_FIN,IND_BANKS,500000000000,Mega Cap,Blend,"Commercial Banking,Investment Banking","Blue Chip,Mega Cap,Systemic Bank",Banco líder global con fuerte diversificación
BAC,Bank of America Corp,NYSE,USA,IDX_SP500,SEC_FIN,IND_BANKS,300000000000,Large Cap,Blend,"Commercial Banking,Consumer Banking","Blue Chip,Lending Cycle",Banca comercial y de consumo en EE.UU.
WFC,Wells Fargo & Co,NYSE,USA,IDX_SP500,SEC_FIN,IND_BANKS,230000000000,Large Cap,Value,"Commercial Banking,Consumer Banking","Value,Turnaround",Banco enfocado en banca minorista y corporativa
C,Citigroup Inc,NYSE,USA,IDX_SP500,SEC_FIN,IND_BANKS,150000000000,Large Cap,Value,"Global Banking,Investment Banking","Global Exposure,Turnaround",Banco global con fuerte presencia internacional
GS,Goldman Sachs Group Inc,NYSE,USA,IDX_SP500,SEC_FIN,IND_BANKS,150000000000,Large Cap,Blend,"Investment Banking,Trading","Blue Chip,Capital Markets Exposure",Banca de inversión y trading institucional
RKT,Rocket Companies Inc,NYSE,USA,,SEC_FIN,IND_THRIFT,20000000000,Large Cap,Value,"Mortgage Origination,Digital Platform","Cyclical,Rate Sensitive,Market Leader",Plataforma digital líder en originación hipotecaria
UWMC,UWM Holdings Corp,NYSE,USA,,SEC_FIN,IND_THRIFT,15000000000,Large Cap,Value,Mortgage Wholesale,"Rate Sensitive,Wholesale Focus",Originador hipotecario mayorista enfocado en brokers
COOP,Mr. Cooper Group Inc,NASDAQ,USA,,SEC_FIN,IND_THRIFT,9000000000,Mid Cap,Blend,"Mortgage Servicing,Origination","Cash Flow,Rate Sensitive",Mayor servicer hipotecario de EE. UU.
PFSI,PennyMac Financial Services Inc,NYSE,USA,,SEC_FIN,IND_THRIFT,7000000000,Mid Cap,Blend,"Mortgage Origination,Servicing","Cyclical,Rate Sensitive",Originación y servicing hipotecario integrado
LDI,loanDepot Inc,NYSE,USA,,SEC_FIN,IND_THRIFT,3000000000,Small Cap,Value,Mortgage Origination,"High Risk,Turnaround",Originador hipotecario digital enfocado en refinanciaciones
AXP,American Express Co,NYSE,USA,IDX_SP500,SEC_FIN,IND_CONS_FIN,190000000000,Large Cap,Blend,"Payments,Credit Cards","Blue Chip,Consumer Finance,High Quality",Servicios financieros y tarjetas premium
COF,Capital One Financial Corp,NYSE,USA,IDX_SP500,SEC_FIN,IND_CONS_FIN,130000000000,Large Cap,Blend,"Credit Cards,Consumer Lending","Consumer Credit Leader,Cyclical",Banca de consumo y tarjetas de crédito
SYF,Synchrony Financial,NYSE,USA,IDX_SP500,SEC_FIN,IND_CONS_FIN,45000000000,Large Cap,Value,"Consumer Credit,Private Label Cards","Cyclical,Rate Sensitive",Financiación al consumo y tarjetas privadas
ALLY,Ally Financial Inc,NYSE,USA,IDX_SP500,SEC_FIN,IND_CONS_FIN,40000000000,Large Cap,Value,"Auto Finance,Consumer Lending","Cyclical,Auto Exposure",Crédito automotriz y banca digital
DFS,Discover Financial Services,NYSE,USA,IDX_SP500,SEC_FIN,IND_CONS_FIN,30000000000,Large Cap,Value,"Credit Cards,Consumer Banking","Consumer Credit,Rate Sensitive",Tarjetas de crédito y banca de consumo
BLK,BlackRock Inc,NYSE,USA,IDX_SP500,SEC_FIN,IND_CAP_MKT,120000000000,Large Cap,Blend,"Asset Management,ETFs","Blue Chip,Asset Manager,High Quality",Mayor gestor de activos del mundo y líder en ETFs
MS,Morgan Stanley,NYSE,USA,IDX_SP500,SEC_FIN,IND_CAP_MKT,180000000000,Large Cap,Blend,"Investment Banking,Wealth Management","Blue Chip,Capital Markets",Banca de inversión y gestión patrimonial global
SCHW,Charles Schwab Corp,NYSE,USA,IDX_SP500,SEC_FIN,IND_CAP_MKT,130000000000,Large Cap,Blend,"Brokerage,Wealth Management","Broker Leader,Rate Sensitive",Broker líder para retail e institucional
CME,CME Group Inc,NASDAQ,USA,IDX_SP500,SEC_FIN,IND_CAP_MKT,80000000000,Large Cap,Blend,"Derivatives Exchange,Market Infrastructure","Market Infrastructure,High Moat",Bolsa líder de derivados y futuros
ICE,Intercontinental Exchange Inc,NYSE,USA,IDX_SP500,SEC_FIN,IND_CAP_MKT,70000000000,Large Cap,Blend,"Exchanges,Market Data","High Moat,Market Infrastructure",Operador de bolsas y data financiera (NYSE)
BRK.B,Berkshire Hathaway Inc (Class B),NYSE,USA,IDX_SP500,SEC_FIN,IND_INS,900000000000,Mega Cap,Blend,"Insurance,Conglomerate","Blue Chip,Mega Cap,Defensive,Quality",Seguros y holding diversificado con alto flujo de caja
UNH,UnitedHealth Group Inc,NYSE,USA,IDX_SP500,SEC_FIN,IND_INS,500000000000,Mega Cap,Blend,"Health Insurance,Services","Blue Chip,Mega Cap,Defensive Growth",Seguros de salud y servicios médicos integrados
PGR,Progressive Corp,NYSE,USA,IDX_SP500,SEC_FIN,IND_INS,120000000000,Large Cap,Growth,Auto Insurance,"Data Driven,Industry Leader",Seguros de autos con fuerte enfoque analítico
ALL,Allstate Corp,NYSE,USA,IDX_SP500,SEC_FIN,IND_INS,110000000000,Large Cap,Blend,Property & Casualty Insurance,"Defensive,Cash Flow",Seguros P&C para consumo
TRV,The Travelers Companies Inc,NYSE,USA,IDX_SP500,SEC_FIN,IND_INS,50000000000,Large Cap,Value,Commercial Insurance,"Defensive,Dividend",Seguros comerciales y de propiedad
BRK.B,Berkshire Hathaway Inc (Class B),NYSE,USA,IDX_SP500,SEC_FIN,IND_DIV_FIN,900000000000,Mega Cap,Blend,"Insurance,Investments,Operating Businesses","Blue Chip,Mega Cap,Quality,Holding","Grupo financiero diversificado con seguros, inversiones y negocios operativos"
BAM,Brookfield Asset Management Ltd,NYSE,USA,IDX_SP500,SEC_FIN,IND_DIV_FIN,120000000000,Large Cap,Blend,"Asset Management,Alternatives","Alternative Assets,Global Platform",Gestor global de activos alternativos e inversiones reales
L,Loews Corp,NYSE,USA,IDX_SP500,SEC_FIN,IND_DIV_FIN,15000000000,Mid Cap,Blend,"Insurance,Investments","Holding,Value",Holding financiero con foco en seguros y participaciones industriales
MKL,Markel Corp,NYSE,USA,,SEC_FIN,IND_DIV_FIN,20000000000,Mid Cap,Blend,"Insurance,Investments","Quality,Mini Berkshire",Aseguradora y holding de inversiones de largo plazo
FRFHF,Fairfax Financial Holdings Ltd,OTC,USA,,SEC_FIN,IND_DIV_FIN,18000000000,Mid Cap,Blend,"Insurance,Global Investments","Value,Contrarian Holding",Holding financiero con enfoque contrarian y seguros globales
SPGI,S&P Global Inc,NYSE,USA,IDX_SP500,SEC_FIN,IND_EXCH,160000000000,Large Cap,Blend,"Financial Data,Indices","Blue Chip,High Moat,Market Infrastructure","Data financiera, ratings e índices bursátiles"
MSCI,MSCI Inc,NYSE,USA,IDX_SP500,SEC_FIN,IND_EXCH,90000000000,Large Cap,Growth,"Indices,Analytics","High Moat,Asset Allocation",Índices y analítica para gestión de activos
NDAQ,Nasdaq Inc,NASDAQ,USA,IDX_SP500,SEC_FIN,IND_EXCH,40000000000,Large Cap,Blend,"Exchange,Market Data","Market Infrastructure,Technology Driven",Operador bursátil y data financiera global
CBOE,Cboe Global Markets Inc,BATS,USA,IDX_SP500,SEC_FIN,IND_EXCH,20000000000,Large Cap,Blend,"Options Exchange,Market Data","Volatility Exposure,High Quality",Operador líder en opciones y derivados
ICE,Intercontinental Exchange Inc,NYSE,USA,IDX_SP500,SEC_FIN,IND_EXCH,70000000000,Large Cap,Blend,"Exchanges,Market Data","High Moat,Market Infrastructure",Operador de bolsas y data financiera (NYSE)
JNJ,Johnson & Johnson,NYSE,USA,IDX_SP500,SEC_HC,IND_PHARMA,420000000000,Large Cap,Blend,"Pharmaceuticals,Medical Products","Blue Chip,Defensive,Dividend",Multinacional farmacéutica diversificada y defensiva
LLY,Eli Lilly and Co,NYSE,USA,IDX_SP500,SEC_HC,IND_PHARMA,800000000000,Mega Cap,Growth,Innovative Pharmaceuticals,"Growth,Industry Leader","Farmacéutica líder en diabetes, obesidad y oncología"
PFE,Pfizer Inc,NYSE,USA,IDX_SP500,SEC_HC,IND_PHARMA,170000000000,Large Cap,Value,"Pharmaceuticals,Research","Value,Dividend",Big Pharma con amplio portafolio de medicamentos
MRK,Merck & Co Inc,NYSE,USA,IDX_SP500,SEC_HC,IND_PHARMA,320000000000,Large Cap,Growth,"Pharmaceuticals,Oncology","Blue Chip,Quality",Farmacéutica líder en oncología e inmunoterapia
ABBV,AbbVie Inc,NYSE,USA,IDX_SP500,SEC_HC,IND_PHARMA,300000000000,Large Cap,Blend,"Biopharma,Specialty Drugs","High Cash Flow,Dividend",Farmacéutica enfocada en inmunología y biotecnología
AMGN,Amgen Inc,NASDAQ,USA,IDX_SP500,SEC_HC,IND_BIOTECH,140000000000,Large Cap,Blend,"Biotechnology,Specialty Drugs","Blue Chip,Biotech Leader,Cash Flow",Biotecnología madura con portafolio comercial sólido
GILD,Gilead Sciences Inc,NASDAQ,USA,IDX_SP500,SEC_HC,IND_BIOTECH,95000000000,Large Cap,Blend,"Biotechnology,Antivirals","Value,High Cash Flow",Tratamientos antivirales y oncológicos con fuerte generación de caja
VRTX,Vertex Pharmaceuticals Inc,NASDAQ,USA,IDX_SP500,SEC_HC,IND_BIOTECH,120000000000,Large Cap,Growth,"Biotechnology,Rare Diseases","Growth,High Moat",Líder en fibrosis quística y enfermedades raras
REGN,Regeneron Pharmaceuticals Inc,NASDAQ,USA,IDX_SP500,SEC_HC,IND_BIOTECH,100000000000,Large Cap,Growth,"Biotechnology,Monoclonal Antibodies","High Quality,Innovation",Biotecnología enfocada en inmunología y oftalmología
BIIB,Biogen Inc,NASDAQ,USA,IDX_SP500,SEC_HC,IND_BIOTECH,35000000000,Large Cap,Value,"Biotechnology,Neurology","Turnaround,Risk Control",Tratamientos neurológicos y pipeline en evolución
TMO,Thermo Fisher Scientific Inc,NYSE,USA,IDX_SP500,SEC_HC,IND_LIFE_TOOLS,250000000000,Large Cap,Blend,"Life Sciences Tools,Diagnostics","Blue Chip,High Moat,Defensive Growth","Equipos, reactivos y servicios para investigación y diagnóstico"
DHR,Danaher Corp,NYSE,USA,IDX_SP500,SEC_HC,IND_LIFE_TOOLS,230000000000,Large Cap,Blend,"Life Sciences Tools,Diagnostics","Blue Chip,Quality Compounder",Plataforma diversificada de ciencias de la vida y diagnóstico
A,Agilent Technologies Inc,NYSE,USA,IDX_SP500,SEC_HC,IND_LIFE_TOOLS,45000000000,Large Cap,Blend,"Analytical Instruments,Life Sciences","Industry Leader,Stable Growth",Instrumentación analítica y soluciones para laboratorios
ILMN,Illumina Inc,NASDAQ,USA,,SEC_HC,IND_LIFE_TOOLS,25000000000,Large Cap,Growth,"Genomics,Sequencing","Growth,Innovation",Razón genética y secuenciación de ADN
BRKR,Bruker Corp,NASDAQ,USA,,SEC_HC,IND_LIFE_TOOLS,12000000000,Mid Cap,Growth,Scientific Instruments,"High Quality,Niche Leader",Instrumentación científica avanzada para investigación
JNJ,Johnson & Johnson,NYSE,USA,IDX_SP500,SEC_HC,IND_HC_EQ,420000000000,Large Cap,Blend,"Medical Devices,Healthcare Products","Blue Chip,Defensive,Quality","Dispositivos médicos, tecnología quirúrgica y productos de salud"
ABT,Abbott Laboratories,NYSE,USA,IDX_SP500,SEC_HC,IND_HC_EQ,210000000000,Large Cap,Blend,"Medical Devices,Diagnostics","Blue Chip,Defensive Growth","Dispositivos médicos, diagnóstico y nutrición"
MDT,Medtronic plc,NYSE,USA,IDX_SP500,SEC_HC,IND_HC_EQ,120000000000,Large Cap,Blend,"Medical Devices,Cardiology","Blue Chip,Stable Cash Flow",Dispositivos médicos implantables y tecnología cardiovascular
SYK,Stryker Corp,NYSE,USA,IDX_SP500,SEC_HC,IND_HC_EQ,110000000000,Large Cap,Growth,"Medical Devices,Orthopedics","Growth,Industry Leader",Equipos ortopédicos y tecnología quirúrgica
BSX,Boston Scientific Corp,NYSE,USA,IDX_SP500,SEC_HC,IND_HC_EQ,100000000000,Large Cap,Growth,"Medical Devices,Interventional","Growth,Innovation",Dispositivos médicos intervencionistas y cardiovasculares
BDX,"Becton, Dickinson and Co",NYSE,USA,IDX_SP500,SEC_HC,IND_HC_SUP,90000000000,Large Cap,Blend,"Medical Supplies,Diagnostics","Blue Chip,Defensive,Quality","Suministros médicos, jeringas, catéteres y diagnóstico"
ZBH,Zimmer Biomet Holdings Inc,NYSE,USA,IDX_SP500,SEC_HC,IND_HC_SUP,30000000000,Large Cap,Blend,"Orthopedic Supplies,Implants","Industry Leader,Stable Demand",Suministros e implantes ortopédicos
STE,Steris plc,NYSE,USA,IDX_SP500,SEC_HC,IND_HC_SUP,25000000000,Large Cap,Blend,"Sterilization,Medical Supplies","Defensive,Recurring Revenue",Esterilización y suministros médicos hospitalarios
HOLX,Hologic Inc,NASDAQ,USA,IDX_SP500,SEC_HC,IND_HC_SUP,20000000000,Large Cap,Blend,"Medical Supplies,Diagnostics","Defensive,Cash Flow",Diagnóstico y suministros médicos enfocados en salud femenina
RMD,ResMed Inc,NYSE,USA,IDX_SP500,SEC_HC,IND_HC_SUP,30000000000,Large Cap,Growth,"Medical Supplies,Respiratory Care","Growth,Recurring Revenue",Equipos y consumibles para tratamiento respiratorio
UNH,UnitedHealth Group Inc,NYSE,USA,IDX_SP500,SEC_HC,IND_HC_PROV,500000000000,Mega Cap,Blend,"Health Insurance,Healthcare Services","Blue Chip,Mega Cap,Defensive Growth",Aseguramiento y servicios médicos integrados (Optum)
HCA,HCA Healthcare Inc,NYSE,USA,IDX_SP500,SEC_HC,IND_HC_PROV,300000000000,Large Cap,Blend,"Hospital Services,Healthcare Operations","Industry Leader,Stable Cash Flow",Operador líder de hospitales y clínicas en EE. UU.
CI,Cigna Group,NYSE,USA,IDX_SP500,SEC_HC,IND_HC_PROV,120000000000,Large Cap,Blend,"Health Insurance,Healthcare Services","Defensive,Integrated Care",Seguros de salud y servicios médicos integrados
HUM,Humana Inc,NYSE,USA,IDX_SP500,SEC_HC,IND_HC_PROV,60000000000,Large Cap,Growth,"Health Insurance,Medicare Advantage","Growth,Medicare Exposure",Aseguradora enfocada en Medicare Advantage
CNC,Centene Corp,NYSE,USA,IDX_SP500,SEC_HC,IND_HC_PROV,40000000000,Large Cap,Blend,"Managed Care,Government Programs","Defensive,Government Exposure",Servicios de salud administrados con foco en programas públicos
VEEV,Veeva Systems Inc,NYSE,USA,IDX_SP500,SEC_HC,IND_HC_TECH,55000000000,Large Cap,Growth,"SaaS,Healthcare Software","Growth,Health Tech Leader",Software cloud para gestión y compliance en la industria farmacéutica
IQV,IQVIA Holdings Inc,NYSE,USA,IDX_SP500,SEC_HC,IND_HC_TECH,45000000000,Large Cap,Blend,"Health Data,Analytics","High Moat,Data Driven","Analítica, datos clínicos y tecnología para investigación médica"
RCM,R1 RCM Inc,NASDAQ,USA,,SEC_HC,IND_HC_TECH,16000000000,Mid Cap,Growth,Revenue Cycle Management,"Health IT,Growth",Automatización y software para gestión de ingresos hospitalarios
EVH,Evolent Health Inc,NYSE,USA,,SEC_HC,IND_HC_TECH,4000000000,Small Cap,Growth,"Health IT,Value-Based Care","Speculative,Growth",Plataforma tecnológica para atención médica basada en valor
TDOC,Teladoc Health Inc,NYSE,USA,,SEC_HC,IND_HC_TECH,3000000000,Small Cap,Growth,"Telemedicine,Digital Health","High Risk,Disruptive",Servicios de telemedicina y salud digital
TSLA,Tesla Inc,NASDAQ,USA,IDX_SP500,SEC_CD,IND_AUTO,750000000000,Mega Cap,Growth,"EV Manufacturer,Technology Platform","Growth,High Beta,EV Leader",Fabricante líder de vehículos eléctricos y software automotriz
TM,Toyota Motor Corp,NYSE,USA,IDX_SP500,SEC_CD,IND_AUTO,330000000000,Large Cap,Blend,"Automobile Manufacturing,Hybrid Tech","Blue Chip,Defensive Auto",Fabricante automotriz global con liderazgo en híbridos
GM,General Motors Co,NYSE,USA,IDX_SP500,SEC_CD,IND_AUTO,60000000000,Large Cap,Value,"Automobile Manufacturing,EV Transition","Value,Cyclical",Fabricante tradicional en transición hacia vehículos eléctricos
F,Ford Motor Co,NYSE,USA,IDX_SP500,SEC_CD,IND_AUTO,50000000000,Large Cap,Value,"Automobile Manufacturing,EV Transition","Value,Dividend,Cyclical",Fabricante histórico con enfoque en trucks y EVs
HMC,Honda Motor Co,NYSE,USA,IDX_SP500,SEC_CD,IND_AUTO,45000000000,Large Cap,Blend,"Automobile Manufacturing,Motorcycles","Blue Chip,Global Auto",Fabricante global de autos y motocicletas
MGA,Magna International Inc,NYSE,USA,IDX_SP500,SEC_CD,IND_AUTO_COMP,45000000000,Large Cap,Blend,"Auto Components,Contract Manufacturing","Blue Chip,Global Supplier",Proveedor global líder de componentes y ensamblaje automotriz
APTV,Aptiv PLC,NYSE,USA,IDX_SP500,SEC_CD,IND_AUTO_COMP,50000000000,Large Cap,Growth,"Auto Electronics,ADAS","Growth,EV Exposure","Electrónica automotriz, software y sistemas avanzados de asistencia"
BWA,BorgWarner Inc,NYSE,USA,IDX_SP500,SEC_CD,IND_AUTO_COMP,35000000000,Large Cap,Blend,"Powertrain,EV Components","Cyclical,EV Transition",Componentes de tren motriz y electrificación
LEA,Lear Corp,NYSE,USA,IDX_SP500,SEC_CD,IND_AUTO_COMP,30000000000,Large Cap,Blend,"Seating Systems,Electronics","Stable Demand,Global OEM",Asientos y sistemas eléctricos para fabricantes globales
ALV,Autoliv Inc,NYSE,USA,IDX_SP500,SEC_CD,IND_AUTO_COMP,25000000000,Large Cap,Blend,Auto Safety Systems,"Defensive,Regulatory Tailwind","Sistemas de seguridad pasiva (airbags, cinturones)"
WHR,Whirlpool Corp,NYSE,USA,IDX_SP500,SEC_CD,IND_HH_DUR,15000000000,Large Cap,Value,"Home Appliances,Consumer Durables","Value,Cyclical,Industry Leader",Electrodomésticos para el hogar a nivel global
ELUXY,Electrolux AB ADR,OTC,USA,,SEC_CD,IND_HH_DUR,25000000000,Large Cap,Blend,"Home Appliances,Consumer Durables","Global Brand,Cyclical",Fabricante global de electrodomésticos y productos para el hogar
FBIN,Fortune Brands Innovations Inc,NYSE,USA,IDX_SP500,SEC_CD,IND_HH_DUR,11000000000,Mid Cap,Blend,Home & Security Products,"Stable Demand,Quality","Productos para el hogar, seguridad y mejoras residenciales"
TPX,Tempur Sealy International Inc,NYSE,USA,IDX_SP500,SEC_CD,IND_HH_DUR,17000000000,Large Cap,Blend,"Home Furnishings,Mattresses","Brand Power,Consumer Cyclical",Colchones y productos de descanso premium
NWL,Newell Brands Inc,NASDAQ,USA,IDX_SP500,SEC_CD,IND_HH_DUR,9000000000,Mid Cap,Value,"Consumer Products,Home Goods","Value,Turnaround",Productos durables para el hogar y consumo
NKE,Nike Inc,NYSE,USA,IDX_SP500,SEC_CD,IND_LEIS_PROD,180000000000,Large Cap,Growth,"Apparel,Footwear,Brand Platform","Blue Chip,Global Brand,Consumer Leader",Ropa deportiva y calzado con marca líder mundial
ADDYY,adidas AG ADR,OTC,USA,,SEC_CD,IND_LEIS_PROD,160000000000,Large Cap,Blend,"Apparel,Footwear","Global Brand,Consumer Cyclical",Fabricante global de ropa y calzado deportivo
HAS,Hasbro Inc,NASDAQ,USA,IDX_SP500,SEC_CD,IND_LEIS_PROD,9000000000,Mid Cap,Value,"Toys,Entertainment","Value,Cyclical,Families","Juguetes, juegos y entretenimiento infantil"
MAT,Mattel Inc,NASDAQ,USA,IDX_SP500,SEC_CD,IND_LEIS_PROD,12000000000,Mid Cap,Blend,"Toys,Entertainment","Brand Revival,Cyclical",Juguetes y marcas icónicas de entretenimiento
YETI,YETI Holdings Inc,NYSE,USA,IDX_SP500,SEC_CD,IND_LEIS_PROD,11000000000,Mid Cap,Growth,"Outdoor Products,Premium Brand","Growth,Premium Consumer",Productos premium para actividades al aire libre
LVMUY,LVMH Moët Hennessy Louis Vuitton ADR,OTC,USA,,SEC_CD,IND_TEXTILE,450000000000,Mega Cap,Blend,"Luxury Goods,Brand Portfolio","Blue Chip,Mega Cap,Luxury Leader",Conglomerado líder mundial de marcas de lujo
NKE,Nike Inc,NYSE,USA,IDX_SP500,SEC_CD,IND_TEXTILE,180000000000,Large Cap,Growth,"Apparel,Footwear,Brand Platform","Blue Chip,Global Brand,Retail Power",Ropa y calzado deportivo con marca líder
MC.P,L'Oréal SA,OTC,USA,,SEC_CD,IND_TEXTILE,250000000000,Large Cap,Blend,"Cosmetics,Luxury Brands","Defensive Luxury,Global Brand",Cosmética y cuidado personal premium
KER.P,Kering SA,OTC,USA,,SEC_CD,IND_TEXTILE,100000000000,Large Cap,Blend,"Luxury Fashion,Brand Portfolio","Luxury,Global Brands","Moda y accesorios de lujo (Gucci, YSL)"
VFC,VF Corp,NYSE,USA,IDX_SP500,SEC_CD,IND_TEXTILE,20000000000,Large Cap,Value,"Apparel,Outdoor Brands","Value,Turnaround,Retail Exposure","Marcas de ropa y outdoor (Vans, The North Face)"
